n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.9999999974477007,5.104245605163754e-09,0.492339,20,14,1000000,-3.001551508460677,-0.0678004640702552
1,2,1,1,0.9999999748091065,5.038326471236724e-08,0.670243,20,14,1000000,-0.7105611709528743,-0.16372673664343118
1,2,1,1,0.9999982754764475,3.4464258602206164e-06,0.511051,20,14,1000000,-1.741568352363946,-0.16642795603938687
1,2,1,1,0.9999999998231259,3.5374018523037017e-10,0.137356,20,14,1000000,-4.648640343026919,-1.3233926504172673
1,2,1,1,0.9999972017003708,5.6032903308683626e-06,0.232227,20,14,1000000,-2.7666848718548493,-0.9112042123601878
1,2,1,1,0.999991704918313,1.6519875702695683e-05,0.090231,20,14,1000000,-4.841548233707802,-1.755817194518754
1,2,1,1,0.9999985893448312,2.8221092144063795e-06,0.037953,20,14,1000000,-3.6787302358156806,-2.981721635615595
1,2,1,1,0.9999994761827367,1.047611170698474e-06,0.526891,20,14,1000000,-0.6889218164445587,-0.594369460660114
1,2,1,1,0.9999999854998425,2.9008696519615168e-08,0.473372,20,14,1000000,-4.057675867660168,-0.0732373250433973
1,2,1,1,0.9999994155535527,1.1681150517465176e-06,0.402226,20,14,1000000,-2.4936188312536434,-0.32602751938790053
2,4,1,2,0.9999678856449405,6.441770364331049e-05,0.052013,29,18,1000000,-4.871077571495611,-2.3686845374997536
2,4,1,2,0.9999984018102503,3.1989217980456014e-06,0.273532,29,18,1000000,-3.6288605698186243,-0.11971153463727369
2,4,1,2,0.9999980225656057,3.948756846776911e-06,0.110515,29,18,1000000,-4.3541677511378865,-1.6902239563041537
2,4,1,2,0.9999982537637079,3.491993291357908e-06,0.286525,29,18,1000000,-4.168155230950252,-0.6831709299555433
2,4,1,2,0.9999939858336362,1.2037510526543248e-05,0.13076,47,31,1000000,-4.733764769807279,-1.0557419365727325
2,4,1,2,0.9999841028318682,3.1843370440896857e-05,0.070214,30,18,1000000,-3.966626137246084,-2.073634525627074
2,4,1,2,0.9999994755007832,1.0513572178504744e-06,0.377383,47,31,1000000,-4.807635135668392,-0.31777889077921806
2,4,1,2,0.9999939312706833,1.2168011702611004e-05,0.189711,47,31,1000000,-3.111575173270095,-0.5246885532404315
2,4,1,2,0.9999990950052853,1.8102721673430092e-06,0.234654,48,31,1000000,-3.2664984944597357,-0.649677932366294
2,4,1,2,0.9999977957628609,4.41642087595226e-06,0.307455,48,31,1000000,-4.210536631213232,-0.044256791381077853
3,8,2,2,0.9997232363498211,0.000547992281168383,0.004379,241,154,1000000,-4.876450257252092,-1.2555072649434602
3,8,2,2,0.9999932665387388,1.3564534795667692e-05,0.118276,279,179,1000000,-4.8635637183352936,-0.2914885389456039
3,8,2,2,0.9999316457863526,0.00013781757261166266,0.042997,170,113,1000000,-4.394533116283587,-0.31308567748832683
3,8,2,2,0.9998305492981786,0.0003395361712321161,0.021077,312,204,1000000,-3.657824073216351,-0.13568019447466728
3,8,2,2,0.999991353986256,1.7383971427666775e-05,0.079291,240,150,1000000,-4.219524553029155,-0.07458528511056794
3,8,2,2,0.9999928883227426,1.4163422624459009e-05,0.069927,246,151,1000000,-4.572569063046791,-0.0979185626241792
3,8,2,2,0.9999707920104542,5.884402280936947e-05,0.023428,239,142,1000000,-4.9012603029030775,-0.12969286297356053
3,8,2,2,0.9999134966449347,0.0001713937245605333,0.058193,243,154,1000000,-4.37413949813852,-0.27501196184782994
3,8,2,2,0.9999246888826839,0.0001479927997078984,0.018105,288,181,1000000,-4.8735307038450095,-0.9673691097310826
3,8,2,2,0.9990281739411252,0.0019232757548239988,0.002104,237,145,1000000,-4.5742053170295085,-1.8034593327828432
4,12,3,2,0.9997967741390377,0.0004075025864379357,0.020473,970,666,1000000,-3.947352235747024,-0.3427732186074408
4,12,3,2,0.9951462137799403,0.0012031258088117266,0.001192,1023,709,1000000,-4.763611792745105,-0.34831109996053033
4,12,3,2,0.9944687708493246,0.008121570081532874,0.00069,942,612,1000000,-4.355327772412662,-0.1318339578161032
4,12,3,2,0.9975832154366121,0.0033324015600893963,0.002788,1050,716,1000000,-4.586853980474082,-0.6336769968253018
4,12,3,2,0.9940570991777299,0.0036057211656449024,0.001022,1161,822,1000000,-4.504155049575847,-0.03240414410148329
4,12,3,2,0.997867363822108,0.004248395151160634,0.001444,1090,790,1000000,-4.85539760572349,-0.49265456857562473
4,12,3,2,0.9996729352248339,0.0006490060576232534,0.007968,1076,754,1000000,-3.5608757109134537,-0.04840268679912718
4,12,3,2,0.9963713740577812,0.005273610748338556,0.0009,1050,750,1000000,-4.976481998595774,-0.07157240033845547
4,12,3,2,0.9998123389277932,0.0003510380484864757,0.022884,1112,771,1000000,-4.9417148034743335,-0.0568123179433746
4,12,3,2,0.9994967288538306,0.00100009753670501,0.004935,1094,766,1000000,-4.501130313476608,-0.08174060645079617
